filename,filepath,duration_sec,sample_rate_hz,snr_db,silence_ratio,overlap_ratio,overlap_segments,srmr,f0_mean_hz,f0_sd_hz,f0_min_hz,f0_max_hz,f0_range_hz,f0_range_st,f0_voiced_frac,hnr_db,shimmer_pct,jitter_local_pct,jitter_rap_pct,praat_pause_count,praat_pause_rate_per_min,praat_mean_pause_dur_sec,praat_total_pause_dur_sec,praat_pause_to_speech_ratio,praat_speaking_rate_syl_sec,praat_articulation_rate_syl_sec
1089-134686-0019.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0019.flac,13.895,16000,25.33,0.0799,0.0,,3.5984,100.98,23.98,75.37,498.55,423.18,32.71,0.5238,12.74,10.1432,2.3156,0.8124,5,21.591,0.4206,2.103,0.1513,4.534,5.424
1089-134686-0020.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0020.flac,16.79,16000,27.47,0.1413,0.0833,40000-80000,2.9111,105.89,21.74,75.19,187.26,112.07,15.8,0.5257,11.72,9.4784,2.6549,0.9662,6,21.441,0.4463,2.678,0.1595,5.003,6.801
1089-134686-0021.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0021.flac,6.55,16000,31.23,0.1697,0.0,,4.2513,112.3,30.03,75.01,184.81,109.8,15.61,0.5015,11.8,8.8901,2.4706,0.7672,3,27.481,0.3433,1.03,0.1573,4.58,6.579
1089-134686-0022.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0022.flac,11.175,16000,30.45,0.1828,0.1667,40000-80000,4.6454,110.96,29.53,75.21,483.07,407.86,32.2,0.4372,10.69,10.121,3.3373,1.2155,4,21.477,0.4978,1.991,0.1782,5.28,7.603
1089-134686-0023.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0023.flac,13.275,16000,26.07,0.1335,0.0,,3.5903,103.87,17.41,75.17,159.4,84.23,13.01,0.5219,12.15,10.7371,2.6122,0.9844,4,18.079,0.4267,1.707,0.1286,5.348,6.653
1089-134686-0024.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0024.flac,11.655,16000,24.99,0.1057,0.0,,3.8871,103.94,34.7,75.03,424.02,348.99,29.98,0.463,10.79,11.7168,2.9999,1.2253,4,20.592,0.4217,1.687,0.1447,5.062,6.045
1089-134686-0025.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0025.flac,6.61,16000,38.95,0.2182,0.0,,3.5875,103.12,46.89,75.93,458.97,383.04,31.15,0.4255,9.34,11.8194,3.2564,1.501,3,27.231,0.4647,1.394,0.2109,4.992,6.486
1089-134686-0026.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0026.flac,4.01,16000,36.75,0.2406,0.0,,3.8637,91.73,8.53,76.51,116.78,40.27,7.32,0.4055,10.15,13.2551,2.5964,0.9756,2,29.925,0.461,0.922,0.2299,4.489,6.541
1089-134686-0027.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0027.flac,2.71,16000,37.39,0.2444,0.0,,3.8657,105.99,65.49,77.84,490.71,412.86,31.87,0.403,9.12,10.8919,2.4733,0.9042,1,22.14,0.419,0.419,0.1546,5.166,7.0
1089-134686-0028.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0028.flac,7.83,16000,19.0,0.0881,0.0,,4.1548,123.94,21.52,76.43,173.76,97.34,14.22,0.6154,13.14,7.8924,2.2448,0.7994,2,15.326,0.347,0.694,0.0886,4.725,5.328
1089-134686-0029.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0029.flac,4.67,16000,25.01,0.1484,0.0,,6.0931,125.27,21.92,75.51,204.69,129.18,17.26,0.5539,14.24,9.4803,2.7082,1.151,1,12.848,0.439,0.439,0.094,4.283,5.682
1089-134686-0030.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0030.flac,2.715,16000,24.95,0.1444,0.0,,3.0101,113.83,16.5,79.84,180.38,100.55,14.11,0.556,11.82,7.3743,2.274,0.615,1,22.099,0.3095,0.3095,0.114,5.157,6.25
1089-134686-0031.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0031.flac,6.615,16000,37.8,0.1955,0.0,,2.6198,91.34,9.51,75.09,117.28,42.18,7.72,0.4894,13.36,8.9182,1.8773,0.7931,3,27.211,0.5037,1.511,0.2284,4.082,6.32
1089-134686-0032.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0032.flac,4.09,16000,40.48,0.2574,0.0,,2.5618,99.36,15.51,75.48,144.6,69.13,11.26,0.4729,13.08,9.1767,2.7001,1.0514,3,44.01,0.4087,1.226,0.2998,4.156,5.936
1089-134686-0033.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0033.flac,3.33,16000,36.85,0.2793,0.0,,4.0719,97.99,10.28,77.13,130.51,53.37,9.1,0.3455,10.28,11.6825,2.8571,1.3404,2,36.036,0.5125,1.025,0.3078,4.805,7.576
1089-134686-0034.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0034.flac,5.81,16000,36.72,0.2642,0.0,,3.174,93.05,26.17,75.97,384.42,308.45,28.07,0.4723,11.97,11.446,2.2387,0.8818,3,30.981,0.4593,1.378,0.2372,3.614,5.379
1089-134686-0035.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0035.flac,3.445,16000,39.93,0.2018,0.0,,5.1699,112.09,15.11,75.64,142.86,67.22,11.01,0.5425,15.45,9.1893,1.6183,0.6361,2,34.833,0.4665,0.933,0.2708,3.483,4.777
1089-134686-0036.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0036.flac,3.25,16000,27.13,0.1574,0.0,,4.0038,96.68,8.29,83.05,114.3,31.25,5.53,0.3696,10.13,11.0938,2.2156,0.6979,2,36.923,0.3845,0.769,0.2366,4.0,5.974
1089-134686-0037.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0037.flac,5.21,16000,31.49,0.1676,0.0,,2.2672,94.34,9.68,76.16,121.4,45.25,8.07,0.4595,12.77,8.6149,2.0115,0.7098,1,11.516,0.469,0.469,0.09,4.607,6.198
1089-134691-0000.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0000.flac,2.085,16000,33.49,0.4493,0.0,,5.7844,96.83,11.85,77.55,124.65,47.1,8.22,0.3854,10.82,13.4609,2.4929,0.5167,2,57.554,0.4985,0.997,0.4782,2.878,5.515
1089-134691-0001.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0001.flac,5.415,16000,31.27,0.0,0.0,,2.3695,89.0,9.19,75.17,121.1,45.93,8.26,0.3941,8.45,9.7879,3.0954,1.1135,3,33.241,0.493,1.479,0.2731,3.693,5.081
1089-134691-0002.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0002.flac,11.6,16000,34.55,0.2358,0.0,,4.6201,95.99,10.25,75.13,139.91,64.78,10.77,0.4209,10.0,11.1585,2.5175,0.8446,6,31.034,0.5333,3.2,0.2759,4.741,7.206
1089-134691-0003.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0003.flac,2.175,16000,30.54,0.0417,0.3333,40000-80000,5.1147,103.06,15.19,77.0,131.18,54.18,9.22,0.4159,10.74,11.8658,3.0163,0.9989,2,55.172,0.4795,0.959,0.4409,3.678,6.579
1089-134691-0004.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0004.flac,5.175,16000,34.68,0.0698,0.0,,3.6796,100.08,44.51,76.24,498.23,421.99,32.5,0.4864,11.41,10.0567,1.9786,0.875,2,23.188,0.4515,0.9031,0.1745,4.444,5.529
1089-134691-0005.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0005.flac,5.36,16000,27.35,0.0056,0.0,,1.945,93.95,36.06,75.44,486.39,410.95,32.26,0.4522,9.84,10.9673,2.7189,1.0028,3,33.582,0.352,1.056,0.197,5.224,7.056
1089-134691-0006.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0006.flac,5.895,16000,20.17,0.0714,0.0,,4.6365,102.85,27.02,75.04,272.88,197.83,22.35,0.4949,9.62,10.1288,2.5432,0.9506,1,10.178,0.4835,0.4835,0.082,5.089,6.443
1089-134691-0007.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0007.flac,3.44,16000,33.65,0.0,0.0,,3.5526,101.61,15.79,77.19,137.41,60.22,9.98,0.5367,11.78,8.5788,2.1948,0.7851,2,34.884,0.408,0.816,0.2372,4.651,6.098
1089-134691-0008.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0008.flac,14.985,16000,26.41,0.0721,0.0,,3.6681,104.77,24.56,74.96,456.58,381.62,31.28,0.5391,11.69,9.8725,2.14,0.7763,5,20.02,0.4978,2.489,0.1661,5.205,6.588
1089-134691-0009.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0009.flac,20.055,16000,31.22,0.0,0.0,,3.0478,102.54,37.31,75.47,497.09,421.62,32.63,0.462,10.02,10.3675,3.0098,1.3024,7,20.942,0.6227,4.359,0.2174,4.986,6.551
1089-134691-0010.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0010.flac,3.195,16000,35.77,0.2264,0.0,,3.9858,109.29,66.44,74.96,464.05,389.08,31.56,0.288,8.09,12.5222,3.2153,1.12,3,56.338,0.6117,1.835,0.5743,3.13,7.353
1089-134691-0011.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0011.flac,20.01,16000,32.5,0.084,0.0,,3.9375,102.46,18.65,75.21,349.11,273.9,26.58,0.4429,11.0,11.0575,2.7093,1.0431,8,23.988,0.5033,4.026,0.2012,4.848,6.655
1089-134691-0012.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0012.flac,15.03,16000,29.61,0.1397,0.0,,4.0333,100.38,23.11,74.98,460.11,385.13,31.41,0.4413,9.99,11.0059,2.5553,1.0619,7,27.944,0.4786,3.35,0.2229,5.19,7.148
1089-134691-0013.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0013.flac,16.33,16000,28.03,0.0515,0.0,,3.2884,104.51,34.55,75.16,494.28,419.12,32.61,0.5196,11.37,10.3548,2.4453,0.9522,5,18.371,0.5236,2.618,0.1603,5.083,6.296
1089-134691-0014.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0014.flac,4.755,16000,32.7,0.1709,0.0,,3.0284,101.23,16.61,75.52,141.32,65.79,10.85,0.5021,10.81,9.4419,3.1247,1.3357,2,25.237,0.6015,1.203,0.253,3.785,5.829
1089-134691-0015.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0015.flac,3.395,16000,29.85,0.0,0.0,,3.1985,102.94,19.82,76.9,177.94,101.04,14.52,0.2768,10.66,11.3418,2.3413,0.6495,3,53.019,0.6677,2.003,0.59,2.651,6.466
1089-134691-0016.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0016.flac,9.06,16000,33.64,0.0828,0.0,,3.1946,108.48,14.45,78.35,145.47,67.12,10.71,0.5282,11.01,9.0731,1.9917,0.7224,4,26.49,0.525,2.1,0.2318,4.967,6.91
1089-134691-0017.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0017.flac,11.695,16000,31.97,0.1234,0.0,,3.6775,105.1,34.07,75.74,488.37,412.63,32.27,0.5489,10.64,9.7342,2.4475,0.9906,3,15.391,0.565,1.695,0.1449,4.788,6.284
1089-134691-0018.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0018.flac,3.09,16000,34.44,0.0388,0.0,,2.0022,121.43,16.41,83.78,151.23,67.44,10.22,0.3105,11.27,9.622,2.3755,0.6669,2,38.835,0.8565,1.713,0.5544,1.294,3.571
1089-134691-0019.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0019.flac,3.155,16000,32.08,0.2667,0.0,,4.0951,96.52,7.98,80.12,115.06,34.94,6.27,0.4936,12.54,10.6931,2.1233,0.7018,2,38.035,0.4735,0.947,0.3002,3.803,5.725
1089-134691-0020.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0020.flac,3.99,16000,40.57,0.3083,0.3333,40000-80000,10.1563,171.16,32.19,107.71,207.79,100.08,11.38,0.4571,14.8,7.1452,1.3822,0.5708,2,30.075,0.4975,0.995,0.2494,4.511,6.429
1089-134691-0021.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0021.flac,13.37,16000,29.92,0.1191,0.0,,4.3138,107.1,46.12,74.98,477.23,402.26,32.04,0.5225,10.99,11.7741,2.429,0.9935,5,22.438,0.4596,2.298,0.1719,4.712,5.993
1089-134691-0022.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0022.flac,5.635,16000,33.98,0.1818,0.0,,4.1004,98.82,17.13,77.72,159.11,81.39,12.4,0.4786,10.22,10.6289,2.3251,0.8993,2,21.295,0.5615,1.123,0.1993,4.791,6.368
1089-134691-0023.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0023.flac,7.735,16000,26.33,0.0078,0.0,,3.4458,97.01,11.78,76.0,124.3,48.3,8.52,0.4416,8.66,12.0769,3.5297,1.7753,2,15.514,0.4835,0.967,0.125,5.559,7.148
1089-134691-0024.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0024.flac,2.215,16000,39.73,0.3562,0.3333,40000-80000,12.9931,177.37,42.65,98.37,214.92,116.55,13.53,0.3486,13.05,8.0876,2.0357,0.6526,1,27.088,0.7555,0.7555,0.3411,3.612,6.494
1089-134691-0025.flac,/content/data/LibriSpeech/test-clean/1089/134691/1089-134691-0025.flac,8.005,16000,29.63,0.109,0.0,,4.2369,110.44,39.44,76.14,444.49,368.35,30.54,0.4015,9.18,12.3096,3.7111,1.7038,3,22.486,0.487,1.461,0.1825,4.997,7.31
1188-133604-0000.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0000.flac,10.725,16000,28.22,0.0,0.0,,2.6565,106.22,38.95,75.01,496.93,421.92,32.73,0.3826,11.88,8.9849,3.1063,1.3377,6,33.566,0.7022,4.213,0.3928,4.009,6.927
1188-133604-0001.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0001.flac,9.04,16000,27.81,0.0,0.0,,3.0159,120.72,73.23,75.19,484.71,409.52,32.26,0.3918,11.11,10.707,2.9712,1.2621,4,26.549,0.812,3.248,0.3593,4.314,6.886
1188-133604-0002.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0002.flac,17.96,16000,29.36,0.0385,0.0667,40000-80000,3.3074,103.27,12.76,75.01,141.18,66.17,10.95,0.4713,11.77,9.9843,3.432,1.4576,7,23.385,0.632,4.424,0.2463,4.51,6.328
1188-133604-0003.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0003.flac,12.61,16000,27.36,0.0,0.0,,3.109,100.74,27.51,75.78,452.05,376.27,30.92,0.4388,10.64,10.0855,3.0977,1.4007,5,23.791,0.6308,3.154,0.2501,4.441,5.993
1188-133604-0004.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0004.flac,10.65,16000,28.03,0.0,0.1667,40000-80000,2.2618,106.48,45.89,75.28,480.1,404.82,32.08,0.4699,10.54,10.1642,4.3562,2.1162,5,28.169,0.5204,2.602,0.2443,4.695,6.339
1188-133604-0005.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0005.flac,8.56,16000,26.39,0.0,0.0,,2.6114,112.19,70.64,76.02,492.66,416.64,32.35,0.4314,10.64,11.9736,3.3184,1.4219,3,21.028,0.7093,2.128,0.2486,4.556,6.5
1188-133604-0006.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0006.flac,2.4,16000,27.72,0.0,0.3333,40000-80000,3.7752,96.7,12.0,75.48,127.63,52.15,9.09,0.3686,10.2,12.3611,6.2513,3.1547,2,50.0,0.512,1.024,0.4267,3.75,6.541
1188-133604-0007.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0007.flac,14.24,16000,25.8,0.0,0.0,,2.2044,103.76,44.09,75.6,481.64,406.03,32.06,0.5222,11.23,9.4022,3.1906,1.4444,6,25.281,0.5627,3.376,0.2371,4.354,5.81
1188-133604-0008.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0008.flac,20.755,16000,27.53,0.0087,0.0556,40000-80000,2.4874,97.44,37.21,75.1,490.34,415.24,32.48,0.4628,11.67,10.3465,3.6807,1.7387,7,20.236,0.7296,5.107,0.2461,4.433,5.922
1188-133604-0009.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0009.flac,23.06,16000,27.71,0.0013,0.0476,40000-80000,2.7356,108.56,46.88,76.54,480.53,403.99,31.8,0.5389,12.75,9.4063,2.864,1.2668,9,23.417,0.5747,5.172,0.2243,5.03,6.795
1188-133604-0010.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0010.flac,6.095,16000,29.22,0.0,0.3333,40000-80000,2.5239,109.43,50.82,75.07,446.27,371.2,30.86,0.4142,11.33,8.9247,3.0237,1.2755,3,29.532,0.517,1.551,0.2545,4.266,6.743
1188-133604-0011.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0011.flac,15.19,16000,25.75,0.004,0.0833,40000-80000,2.4677,107.39,55.28,75.81,447.97,372.16,30.76,0.496,10.87,9.6809,3.2277,1.5812,4,15.8,0.6175,2.47,0.1626,4.674,5.689
1188-133604-0012.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0012.flac,14.65,16000,29.95,0.0164,0.0,,2.9116,108.77,58.55,75.53,493.37,417.84,32.49,0.4679,11.2,8.6119,3.3061,1.4673,8,32.765,0.5693,4.554,0.3109,4.164,6.179
1188-133604-0013.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0013.flac,3.02,16000,32.61,0.04,0.3333,40000-80000,3.0073,103.0,18.39,76.66,169.57,92.91,13.74,0.5987,12.17,7.7477,3.567,1.3235,2,39.735,0.478,0.956,0.3166,3.974,5.814
1188-133604-0014.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0014.flac,4.39,16000,32.43,0.1096,0.3333,40000-80000,3.3563,96.88,9.3,76.17,116.12,39.95,7.3,0.4069,12.42,8.4588,3.1823,1.6312,3,41.002,0.5033,1.51,0.344,3.417,5.208
1188-133604-0015.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0015.flac,16.085,16000,29.24,0.0933,0.0833,400000-440000,2.7378,102.87,33.95,74.99,487.87,412.88,32.42,0.4442,12.38,9.3553,3.501,1.4493,7,26.111,0.6476,4.533,0.2818,4.601,6.722
1188-133604-0016.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0016.flac,16.595,16000,27.93,0.0108,0.1667,40000-80000;280000-320000,3.0911,103.59,41.35,75.13,498.0,422.87,32.74,0.4469,10.64,11.5179,3.9522,1.6739,8,28.924,0.6184,4.947,0.2981,4.098,5.838
1188-133604-0017.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0017.flac,4.615,16000,30.71,0.0719,0.3333,40000-80000,3.4218,110.65,14.4,78.47,141.15,62.67,10.16,0.6223,11.6,8.6202,3.0985,1.268,1,13.001,0.5475,0.5475,0.1186,6.284,7.552
1188-133604-0018.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0018.flac,11.55,16000,28.86,0.0495,0.1667,40000-80000,3.0079,109.59,49.97,75.11,472.78,397.68,31.85,0.5456,12.13,8.9807,3.1866,1.3275,4,20.779,0.4795,1.9179,0.1661,5.022,6.282
1188-133604-0019.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0019.flac,13.93,16000,34.26,0.1703,0.1111,280000-320000,2.9698,106.66,42.69,76.27,474.3,398.03,31.64,0.4748,14.78,8.4725,2.4758,1.0306,6,25.844,0.7403,4.442,0.3189,4.02,6.318
1188-133604-0020.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0020.flac,10.26,16000,30.54,0.0351,0.1667,40000-80000,2.531,101.96,8.75,75.6,130.62,55.02,9.47,0.479,13.96,8.2487,2.6367,1.079,5,29.24,0.548,2.74,0.2671,4.191,6.026
1188-133604-0021.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0021.flac,14.02,16000,27.65,0.0236,0.0,,3.1744,125.76,83.28,82.61,498.84,416.23,31.13,0.5182,12.45,10.2836,3.0241,1.277,5,21.398,0.6056,3.028,0.216,4.993,6.752
1188-133604-0022.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0022.flac,9.63,16000,30.2,0.0187,0.0,,3.1991,105.71,35.81,76.88,431.63,354.75,29.87,0.4323,13.51,9.391,2.6726,1.0964,5,31.153,0.6876,3.438,0.357,3.738,6.233
1188-133604-0023.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0023.flac,23.67,16000,31.06,0.1445,0.0952,40000-80000;520000-560000,3.1658,107.19,29.81,75.98,439.8,363.82,30.4,0.3976,11.97,9.6631,2.5839,0.9789,11,27.883,0.8951,9.846,0.416,3.211,5.779
1188-133604-0024.flac,/content/data/LibriSpeech/test-clean/1188/133604/1188-133604-0024.flac,15.24,16000,31.49,0.0413,0.0833,40000-80000,2.6697,100.35,15.79,75.28,415.33,340.05,29.57,0.4898,12.44,8.5574,2.6132,1.0065,7,27.559,0.5977,4.184,0.2745,4.199,5.935
